City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,colac,-38.3333,143.5833,55.17,51,100,10.33,AU,1698721428
286,pont rouge,48.8833,-72.0825,31.62,87,38,9.62,CA,1698721428
287,la passe,45.5549,-0.8967,59.99,83,60,24.11,FR,1698721428
288,cabo san lucas,22.8909,-109.9124,79.75,80,37,1.01,MX,1698721202
289,bousse,12.6606,-1.8922,80.56,22,11,8.12,BF,1698721428
290,manismata,-2.4667,111.0333,86.59,65,75,3.89,ID,1698721428
291,talcahuano,-36.7167,-73.1167,49.68,71,0,10.36,CL,1698721428
292,popondetta,-8.7537,148.2534,76.14,94,100,2.46,PG,1698721429
293,labuan bajo,-8.4964,119.8877,86.27,63,1,8.79,ID,1698721429
294,greenville,35.6127,-77.3663,71.64,85,0,8.05,US,1698721206
295,lubao,14.9167,120.55,89.67,64,88,12.62,PH,1698721429
296,kununurra,-15.7667,128.7333,98.8,29,100,4.99,AU,1698721429
297,labytnangi,66.6572,66.4183,12.67,95,100,4.07,RU,1698721429
298,sandpoint,48.2766,-116.5533,35.04,77,0,0.0,US,1698721389
299,sakakah,29.9697,40.2064,62.17,53,34,4.63,SA,1698721430
300,cooma,-36.2333,149.1333,63.88,15,0,13.29,AU,1698721430
301,tuscaloosa,33.2098,-87.5692,50.04,80,100,8.05,US,1698721386
302,alice springs,-23.7,133.8833,85.55,13,3,14.97,AU,1698721430
303,kannus,63.9,23.9,29.43,97,100,2.42,FI,1698721430
304,hobyo,5.3505,48.5268,80.28,81,48,5.66,SO,1698721430
305,kanniyakumari,8.0833,77.5667,76.37,90,100,11.45,IN,1698721431
306,palikir - national government center,6.9248,158.1611,82.17,78,84,13.02,FM,1698721431
307,fortuna,40.5982,-124.1573,49.12,75,0,0.0,US,1698721431
308,umea,63.8284,20.2597,17.53,86,50,5.75,SE,1698721251
309,delta,5.5,6.0,74.48,95,100,3.33,NG,1698721211
310,rongelap,11.1635,166.8941,83.44,78,87,20.54,MH,1698721431
311,manokwari,-0.8667,134.0833,81.72,77,98,6.33,ID,1698721432
312,apolinario saravia,-24.4328,-63.9954,65.23,85,100,16.22,AR,1698721432
313,geraldton,-28.7667,114.6,88.21,16,0,18.41,AU,1698721356
314,carbonear,47.7332,-53.2148,35.15,93,100,4.79,CA,1698721432
315,rawson,-43.3002,-65.1023,44.78,59,44,10.92,AR,1698721432
316,kalmunai,7.4167,81.8167,80.87,79,96,5.17,LK,1698721433
317,choyr,46.3611,108.3611,32.13,59,86,7.31,MN,1698721433
318,kyaikto,17.3,97.0167,82.15,76,100,5.37,MM,1698721433
319,helena valley west central,46.6629,-112.0604,30.06,90,0,3.44,US,1698721433
320,funafuti,-8.5243,179.1942,89.6,84,40,0.0,TV,1698721433
321,yarmouth,41.7057,-70.2286,51.96,94,100,18.99,US,1698721433
322,carnarvon,-24.8667,113.6333,79.72,46,0,9.48,AU,1698721434
323,queenstown,-31.8976,26.8753,43.12,83,48,2.3,ZA,1698721322
324,aykhal,66.0,111.5,-5.8,99,99,7.43,RU,1698721434
325,reggane,26.7158,0.1714,82.56,14,52,5.88,DZ,1698721434
326,kudahuvadhoo,2.6708,72.8944,81.88,70,53,3.15,MV,1698721434
327,lagoa,39.05,-27.9833,66.16,82,17,27.04,PT,1698721435
328,lae,-6.7221,146.9847,88.47,76,100,3.02,PG,1698721435
329,broken hill,-31.95,141.4333,67.98,30,83,8.72,AU,1698721435
330,rach gia,10.0167,105.0833,85.32,74,40,8.5,VN,1698721435
331,vadso,70.0744,29.7487,32.16,80,75,9.22,NO,1698721435
332,la breita,-4.2608,-80.8875,75.74,65,99,4.61,PE,1698721435
333,jati,24.3539,68.2671,82.58,38,0,7.31,PK,1698721435
334,zhaoyuan,37.3592,120.3964,76.44,38,0,13.56,CN,1698721436
335,rumuruti,0.267,36.5389,59.52,89,81,6.89,KE,1698721436
336,caleta de carquin,-11.0925,-77.6267,67.15,88,99,9.17,PE,1698721436
337,fale old settlement,-9.3852,-171.2468,82.76,79,100,15.66,TK,1698721436
338,holualoa,19.6228,-155.9522,79.5,79,17,5.01,US,1698721436
339,olonets,60.9847,32.9698,22.53,97,98,3.29,RU,1698721436
340,bemidji,47.4736,-94.8803,27.9,99,100,8.05,US,1698721437
341,galle,6.0367,80.217,80.24,79,76,2.93,LK,1698721437
342,igarka,67.4667,86.5833,1.22,96,99,3.74,RU,1698721437
343,sinabang,2.4803,96.3801,80.76,78,99,3.74,ID,1698721437
344,faya-largeau,17.9257,19.1043,76.96,19,0,19.73,TD,1698721437
345,coquimbo,-29.9533,-71.3436,56.93,82,0,2.3,CL,1698721397
346,fort bragg,35.139,-79.006,71.44,74,0,8.05,US,1698721437
347,poronaysk,49.2167,143.1167,51.87,48,12,10.36,RU,1698721438
348,shatki,55.1887,44.1249,43.47,99,100,10.94,RU,1698721438
349,conde,-7.2597,-34.9075,74.66,88,20,5.75,BR,1698721438
350,kavaratti,10.5669,72.642,79.52,82,100,9.57,IN,1698721438
351,beira,-19.8436,34.8389,64.49,77,100,11.5,MZ,1698721438
352,greenwood,34.1668,-82.1165,66.56,58,0,4.61,US,1698721439
353,cidreira,-30.1811,-50.2056,66.99,93,100,8.23,BR,1698721395
354,corner brook,48.9667,-57.9484,33.96,90,100,2.15,CA,1698721243
355,susuman,62.7833,148.1667,7.99,94,82,1.01,RU,1698721439
